Tempo,82
45,39,4066,760
76,41,4068,300
69,41,4073,291
57,37,4078,766
76,38,4795,334
69,36,4812,316
45,36,5161,68
41,31,5561,701
53,33,5569,710
77,36,5571,317
69,37,5577,298
77,36,6276,218
69,37,6277,229
53,44,6601,67
41,41,6609,81
78,43,7003,328
69,46,7004,315
38,37,7008,716
50,41,7009,721
78,36,7729,245
69,37,7742,239
38,32,8111,40
41,31,8462,740
53,27,8464,800
77,36,8471,389
69,33,8481,383
77,36,9196,262
69,35,9199,257
76,36,9936,336
69,36,9942,326
45,35,9946,721
57,32,9951,705
76,36,10666,387
69,36,10674,404
45,36,10979,101
57,37,10981,79
41,37,11420,651
69,41,11422,301
77,44,11424,307
53,33,11426,674
77,40,12097,352
69,38,12105,354
53,44,12300,80
41,39,12303,82
78,42,12832,334
69,38,12839,326
38,39,12841,738
50,41,12842,747
78,35,13595,217
69,37,13600,233
38,40,13938,64
50,40,13939,66
77,38,14395,429
69,37,14404,441
53,35,14407,1699
41,35,14418,1683
71,37,17619,67
71,36,18000,83
71,39,18370,55
45,33,18696,362
71,46,18713,396
52,31,19080,349
69,37,19088,90
57,31,19481,125
69,37,19483,2572
52,36,19811,63
41,32,20213,334
48,29,20566,280
53,35,20934,109
48,36,21265,59
38,33,21628,361
45,36,21962,350
50,37,22364,96
45,39,22699,75
71,38,22723,170
69,45,22881,187
71,50,23070,197
40,36,23073,325
69,47,23249,401
47,32,23436,325
71,49,23616,354
52,32,23813,83
69,39,23967,397
47,35,24163,47
71,43,24349,75
45,36,24536,358
71,48,24548,537
52,27,24937,274
69,47,25093,83
69,53,25279,2724
57,37,25282,103
52,36,25628,44
41,36,26006,354
48,31,26367,289
53,36,26761,115
48,36,27102,60
38,41,27470,388
45,35,27823,364
50,31,28218,163
45,31,28550,75
71,41,28559,164
69,36,28744,175
40,39,28918,357
71,49,28922,218
69,41,29119,371
47,36,29300,303
71,50,29471,400
52,35,29670,91
69,40,29855,377
56,40,30042,77
71,41,30235,68
45,39,30397,409
71,57,30422,514
52,26,30820,266
69,46,30938,83
57,40,31136,122
69,51,31138,2799
52,38,31479,59
41,38,31850,390
48,27,32250,278
53,32,32606,144
48,30,32964,51
38,35,33313,430
45,38,33676,368
50,35,34058,213
45,31,34404,93
71,38,34421,158
69,36,34592,188
40,39,34771,366
71,46,34775,201
69,41,34956,374
47,37,35133,335
71,48,35313,361
52,37,35501,70
69,41,35663,138
56,41,35863,62
71,44,36011,64
59,49,36203,153
71,56,36212,446
56,35,36584,323
59,39,36971,157
56,27,37342,303
59,35,37733,106
76,44,37735,354
56,20,38144,338
80,37,38509,332
59,30,38525,95
56,26,38873,428
83,37,39237,449
59,30,39261,222
71,38,41395,67
71,49,41779,69
45,37,42133,365
71,48,42156,558
52,27,42567,264
69,41,42713,85
69,67,42923,2609
57,33,42936,94
52,33,43276,48
41,36,43619,337
48,31,43966,266
53,40,44318,132
48,39,44661,60
38,49,45015,380
45,38,45395,333
50,46,45762,110
45,47,46109,70
71,41,46112,174
69,51,46281,180
71,51,46479,205
40,41,46492,336
69,51,46671,392
47,41,46860,369
71,51,47053,366
52,36,47246,138
69,43,47421,345
47,38,47600,62
71,47,47771,82
45,33,47966,373
71,53,47979,504
52,31,48342,277
69,41,48508,83
69,53,48693,2712
57,36,48696,106
52,37,49035,56
41,35,49423,334
48,30,49799,306
53,36,50182,125
48,28,50532,73
38,36,50910,372
45,32,51260,355
50,28,51633,123
45,35,51969,84
71,41,51984,169
69,40,52153,184
71,48,52340,205
40,37,52342,338
69,46,52523,368
47,35,52697,330
71,49,52879,341
52,43,53036,100
69,50,53231,316
56,44,53399,64
71,48,53559,74
45,35,53750,422
71,58,53756,556
52,31,54161,308
69,40,54334,81
57,35,54537,95
69,56,54538,2705
52,37,54881,52
41,35,55262,364
48,33,55620,379
53,36,56010,137
48,33,56367,74
38,38,56746,400
45,36,57099,336
50,36,57485,295
45,38,57820,361
71,41,57828,151
69,49,58001,201
71,53,58205,194
40,36,58207,403
69,47,58371,409
47,35,58583,370
71,44,58776,354
52,33,58969,92
69,44,59118,334
54,37,59281,113
71,46,59464,79
71,53,59667,1462
56,49,59671,110
59,49,60397,123
56,31,60793,1016
59,33,61162,297
76,50,61164,1061
52,35,61864,2125
56,35,62248,385
59,37,62637,337
56,33,62972,996
59,35,63347,739
69,47,64812,66
69,51,65176,65
45,37,65555,406
69,59,65573,782
52,28,65973,209
57,37,66137,171
72,51,66315,660
59,35,66341,96
52,39,66666,311
60,36,67012,125
76,26,67093,66
52,30,67397,329
57,39,67769,85
69,43,67775,111
69,46,68019,131
52,36,68125,68
69,50,68320,101
38,38,68515,383
69,61,68517,778
45,32,68880,253
50,35,69076,162
77,48,69263,930
52,42,69280,89
45,37,69610,303
53,46,69962,103
45,38,70302,382
50,37,70704,99
69,49,70715,121
69,41,70977,111
45,39,71079,90
69,45,71275,98
45,36,71441,400
69,63,71458,757
52,35,71843,289
81,61,72193,812
57,41,72201,91
38,40,72966,338
74,31,72969,339
45,41,73286,344
74,58,73662,149
50,44,73671,92
72,43,73826,125
45,48,74001,81
72,42,74165,81
72,58,74348,169
40,41,74353,335
74,49,74524,192
47,40,74687,368
72,49,74691,108
72,50,75045,341
52,37,75067,78
64,41,75404,352
47,36,75412,305
72,58,75793,739
56,32,75800,148
47,33,76157,331
71,57,76523,464
52,42,76539,88
47,41,76897,92
69,49,77053,100
45,20,77246,362
69,67,77255,775
52,28,77640,179
57,33,77818,141
59,45,78011,94
76,46,78014,1134
52,30,78386,301
60,35,78764,97
52,32,79123,311
69,56,79481,105
57,42,79489,90
69,60,79718,119
52,38,79852,62
69,49,80006,117
69,65,80214,731
38,41,80226,344
45,35,80565,212
50,36,80764,127
52,47,80942,139
77,57,80943,1152
45,33,81291,354
53,39,81684,86
45,39,82018,355
50,41,82397,113
69,49,82398,113
69,52,82636,122
45,43,82775,78
69,48,82946,98
69,69,83151,846
45,44,83170,391
52,36,83546,267
81,62,83879,694
57,46,83891,86
52,41,84238,47
38,41,84607,327
74,54,84608,317
45,36,84912,355
74,48,85321,178
50,41,85328,95
72,50,85492,103
45,46,85658,81
72,52,85834,84
40,42,86012,379
72,57,86013,166
74,48,86194,180
72,50,86360,89
47,36,86379,344
72,57,86723,363
52,39,86737,74
64,47,87088,343
47,35,87092,343
72,56,87457,771
56,40,87467,215
47,35,87831,401
52,36,88210,75
71,46,88215,282
