Tempo,110
67,38,503,141
67,42,770,270
36,37,1008,285
69,48,1012,544
43,36,1262,935
48,36,1534,407
67,48,1541,564
52,37,1811,421
72,49,2080,523
48,42,2337,66
43,37,2587,336
71,52,2602,1012
50,36,2853,490
53,35,3115,236
55,37,3387,69
67,41,3655,100
67,57,3939,231
43,43,4161,348
69,48,4169,559
50,36,4466,349
53,36,4723,268
67,46,4725,557
55,41,5014,244
74,48,5263,614
53,47,5268,181
50,32,5557,45
36,36,5845,332
72,49,5847,1001
43,35,6094,402
48,32,6402,229
52,37,6667,91
67,49,6917,127
67,41,7187,262
36,39,7448,295
79,49,7452,617
72,41,7470,124
43,36,7706,362
48,36,8025,227
76,50,8030,549
52,39,8291,281
72,50,8570,551
48,43,8577,195
45,41,8821,83
41,38,9116,290
71,53,9128,598
48,33,9387,849
69,47,9664,354
53,32,9669,352
57,38,10194,66
77,48,10205,107
77,55,10456,337
36,35,10742,243
76,51,10749,538
43,40,10994,246
72,42,11265,555
48,39,11290,49
43,41,11792,173
74,57,11805,557
36,36,12374,284
72,47,12387,460
43,31,12638,987
48,27,12951,681
