Tempo,80
81,52,1752,220
83,46,1932,194
45,46,2107,228
84,56,2124,518
52,35,2324,688
57,27,2504,183
79,44,2690,397
76,50,3084,346
57,44,3262,63
79,50,3438,95
79,53,3628,192
41,40,3630,240
48,37,3817,699
81,48,3823,425
53,37,4003,163
55,30,4184,222
79,53,4196,365
77,47,4552,371
53,40,4743,65
76,49,4918,81
76,55,5106,375
36,43,5112,292
43,36,5463,330
48,39,5858,81
76,51,5868,371
43,36,6212,70
74,39,6411,65
55,38,6614,392
43,40,6615,395
74,47,6617,291
81,42,7728,202
83,46,7903,186
45,46,8092,231
84,57,8093,551
52,41,8279,633
57,38,8465,149
59,43,8649,148
79,58,8659,346
76,51,9016,365
57,41,9209,66
79,50,9380,80
79,55,9576,375
41,40,9579,340
48,36,9950,274
81,55,9956,339
53,35,10317,72
79,57,10318,202
77,53,10533,308
55,39,10692,50
76,45,10875,91
36,37,11066,364
76,51,11077,374
43,38,11437,323
67,46,11448,99
67,51,11799,169
48,38,11803,89
76,46,12008,332
43,41,12146,54
74,54,12359,546
55,23,12552,335
43,41,12558,846
55,36,13153,306
74,51,13355,192
76,45,13550,322
43,44,13724,75
74,51,13884,181
41,39,14075,341
72,56,14076,361
79,47,14446,113
48,31,14482,313
79,46,14848,512
53,33,14855,78
55,46,15212,61
72,50,15391,73
45,41,15568,324
72,63,15574,397
52,31,15944,337
79,51,15955,84
57,44,16317,96
79,53,16319,358
52,44,16703,47
72,51,16875,72
36,45,17063,232
72,62,17069,304
43,46,17245,234
48,37,17469,113
72,59,17645,364
50,48,17648,185
52,38,17856,245
74,56,18028,76
55,41,18235,54
74,46,18400,74
74,70,18580,412
43,47,18593,335
50,37,18970,320
55,44,19339,101
74,56,19341,176
76,51,19516,180
50,48,19685,50
74,53,19705,147
72,60,19869,60
41,43,20080,247
72,71,20082,564
48,38,20278,243
53,28,20491,108
79,59,20661,451
55,43,20676,146
72,58,21105,89
53,39,21296,57
72,51,21457,64
45,48,21632,257
72,70,21640,561
52,46,21877,620
57,40,22033,151
79,57,22208,448
59,30,22225,151
72,50,22647,82
57,47,22829,49
72,56,22998,64
36,53,23165,305
72,73,23174,226
43,41,23513,256
72,60,23535,85
72,62,23888,211
48,39,23893,79
52,40,23895,79
74,49,24101,78
43,37,24254,49
74,37,24428,59
74,52,24623,435
55,36,24633,371
43,40,24635,739
55,40,25390,76
71,60,25394,187
43,41,25711,61
72,53,25909,70
72,65,26091,649
53,51,26098,209
41,49,26100,730
67,50,26730,339
53,42,26904,71
64,54,27075,317
41,48,27236,55
67,48,27402,75
67,53,27596,409
48,36,27610,246
36,39,27612,702
48,43,28328,91
72,57,28332,440
36,37,28675,52
74,43,28865,65
74,59,29066,2046
43,37,29073,392
50,31,29476,182
55,26,29626,144
57,43,29832,93
50,29,30185,1187
59,38,30587,695
55,44,31394,45
72,51,31735,62
41,41,32106,327
72,58,32113,580
53,44,32116,312
48,32,32525,270
67,43,32672,366
53,33,32893,66
64,44,33044,301
48,37,33219,50
67,48,33403,90
67,62,33597,380
45,45,33600,814
57,44,33602,268
57,41,34384,97
72,62,34386,385
45,47,34752,71
74,48,34919,91
43,48,35091,371
74,62,35099,1555
50,36,35475,165
55,33,35649,148
57,46,35832,104
50,36,36204,1132
59,48,36591,539
55,41,37349,52
81,57,37520,197
83,58,37701,177
84,57,37876,92
41,48,38055,234
84,61,38063,598
48,40,38253,219
53,39,38449,144
81,61,38634,418
55,48,38636,105
79,62,39041,363
53,39,39235,47
76,45,39413,96
76,51,39592,406
36,36,39601,349
43,37,39981,275
48,47,40187,130
76,61,40380,208
52,51,40383,110
74,54,40576,295
48,43,40741,57
72,51,40912,102
43,56,41091,311
74,65,41103,248
50,37,41456,277
74,65,41461,89
74,70,41823,180
55,41,41827,73
76,50,42032,315
50,37,42193,72
74,50,42360,168
45,46,42553,383
72,61,42559,445
52,35,42939,379
57,43,43322,86
81,54,43489,297
52,49,43674,58
83,42,43784,331
41,39,44114,340
84,60,44126,463
48,32,44513,225
81,57,44680,364
53,33,44888,53
79,55,45049,236
77,59,45278,362
76,51,45616,386
36,40,45632,311
43,36,45964,245
48,41,46155,135
50,49,46340,123
76,59,46349,213
74,50,46551,300
48,44,46715,62
72,47,46879,104
74,63,47075,351
43,48,47080,338
50,37,47449,228
55,36,47652,127
74,56,47835,1039
57,43,47845,100
50,36,48200,1157
59,46,48585,329
55,36,49158,266
74,61,49321,174
76,56,49513,310
50,48,49676,71
74,50,49842,126
72,62,50040,381
41,48,50048,342
79,51,50419,90
48,35,50423,303
79,51,50790,205
53,41,50801,85
84,57,50994,233
48,46,51182,53
83,59,51192,170
79,49,51365,657
45,40,51543,391
52,36,51923,319
76,46,52301,207
57,42,52303,109
74,51,52503,310
52,43,52673,70
72,43,52849,92
48,41,53041,604
72,58,53045,237
55,37,53409,414
72,46,53416,117
60,36,53790,137
72,61,53803,502
55,46,54177,68
74,51,54359,78
43,46,54542,374
74,69,54548,416
50,39,54937,338
55,47,55321,92
74,76,55329,151
76,51,55507,172
50,46,55679,47
74,50,55701,145
72,50,55880,94
41,44,56062,329
72,73,56074,363
84,53,56430,81
48,38,56436,286
53,41,56796,93
84,70,56808,207
83,57,56981,183
79,53,57173,733
48,41,57184,52
45,43,57514,419
52,33,57932,328
