Tempo,110
76,48,1690,390
36,36,1692,404
48,41,1694,392
72,48,1695,384
43,45,2811,384
55,47,2817,329
74,57,2818,403
36,48,3875,1748
48,46,3877,1727
72,53,3885,416
48,40,6085,342
76,47,6086,377
36,43,6089,301
43,44,7142,448
55,46,7149,382
74,53,7157,447
48,41,8286,1709
36,43,8287,1644
72,46,8293,1697
72,37,10512,148
36,36,10515,424
72,39,10973,99
43,35,10982,441
48,35,11533,118
72,40,11547,110
52,44,12077,95
72,40,12088,156
43,35,12611,533
74,37,12613,240
74,38,13150,102
50,30,13162,808
74,41,13687,789
55,38,13689,395
50,35,14261,45
36,38,14815,426
76,50,14816,508
48,44,14818,433
43,48,15871,408
55,50,15876,343
74,60,15887,403
72,53,16999,357
48,47,17002,368
36,44,17003,347
