Tempo,90
75,49,1248,109
75,70,1570,248
51,63,1911,2362
82,69,1924,1065
58,53,2233,373
63,55,2562,390
58,58,2892,430
77,57,2909,459
63,46,3241,282
58,66,3573,343
63,39,3580,64
77,58,3584,480
63,57,3896,218
75,59,3935,130
58,64,4227,79
75,73,4259,211
82,64,4546,1081
46,77,4562,1325
50,54,4870,724
53,53,5215,387
58,69,5541,476
77,57,5542,539
53,58,5888,313
46,61,6220,690
77,55,6238,845
50,57,6526,403
75,57,6904,291
53,55,6909,281
48,49,7212,2322
84,54,7225,997
55,42,7550,699
60,52,7884,373
51,57,8174,953
79,55,8193,688
55,57,8514,1037
77,59,8867,781
60,53,9159,380
51,66,9514,124
75,77,9523,206
44,70,9858,1398
80,79,9860,442
48,55,10196,1090
80,72,10395,277
51,58,10556,293
56,73,10880,456
80,88,10892,482
51,67,11226,264
44,66,11518,682
80,59,11539,733
48,57,11828,387
51,55,12206,139
75,78,12234,302
51,83,12542,1133
82,60,12546,1021
55,58,12883,1085
58,47,13243,354
77,63,13564,537
63,86,13566,472
58,40,13928,281
51,62,14248,723
77,55,14282,424
55,59,14579,390
75,72,14608,131
58,49,14926,70
75,70,14940,303
82,58,15244,1119
46,78,15267,1347
50,51,15564,1267
53,58,15914,394
58,70,16244,469
77,60,16245,502
53,53,16581,282
58,70,16914,679
46,70,16924,625
77,58,16942,720
50,49,17231,352
75,73,17562,292
53,47,17566,291
48,61,17876,987
84,49,17906,961
51,46,18191,755
55,47,18557,447
79,44,18883,669
60,77,18885,401
51,53,19188,361
48,66,19550,708
77,58,19556,229
75,88,19706,753
55,64,19871,408
60,54,20198,100
51,73,20231,145
44,86,20541,2309
77,34,20547,166
80,30,20632,161
48,53,20885,1318
80,86,21053,267
77,60,21070,208
51,62,21250,327
77,58,21553,431
80,84,21558,469
56,70,21579,185
51,64,21917,323
80,84,22243,393
77,57,22244,369
56,79,22255,411
48,41,22296,560
51,40,22606,340
56,81,22902,104
77,57,22908,287
80,77,22911,309
51,81,23247,1093
55,59,23566,479
82,94,23568,83
82,84,23899,77
58,47,23908,238
63,77,24220,156
82,88,24228,133
55,33,24245,122
51,77,24547,1027
82,86,24563,467
55,51,24882,709
79,54,25038,431
63,77,25205,348
58,55,25542,60
82,86,25564,352
46,69,25898,1065
50,55,26215,1205
82,83,26230,111
53,50,26551,105
82,86,26553,103
82,84,26868,314
58,58,26878,371
53,51,26896,92
46,33,27025,1181
87,73,27184,531
53,51,27245,360
58,64,27512,261
86,59,27703,496
50,55,27848,368
84,54,28175,739
53,48,28202,299
48,57,28511,741
51,55,28902,748
79,70,28911,182
55,57,29220,543
79,72,29238,102
60,64,29568,196
79,78,29571,148
48,74,29888,1082
79,83,29900,328
51,50,30231,586
79,79,30394,506
55,57,30547,436
60,66,30871,114
80,84,30894,510
44,84,31222,1077
48,54,31568,609
80,77,31571,98
51,47,31893,470
80,84,31900,87
80,79,32216,117
56,69,32230,180
80,77,32558,559
44,66,32574,978
48,50,32918,662
79,53,33080,220
51,49,33253,397
79,60,33576,288
56,60,33591,174
51,69,33905,775
55,46,34238,472
82,83,34244,87
82,78,34556,72
58,41,34572,207
82,84,34876,97
63,79,34878,135
51,77,35211,1050
82,90,35214,508
55,47,35555,720
79,59,35718,707
58,62,35890,378
63,69,36213,66
82,78,36251,377
46,77,36558,799
50,50,36892,475
82,66,36900,101
82,63,37224,92
53,51,37238,231
53,43,37523,100
58,70,37525,335
82,73,37536,402
46,70,37879,991
87,70,37888,313
50,51,38219,672
86,57,38393,447
53,55,38588,354
58,63,38885,183
84,78,38886,731
48,53,39220,2347
55,54,39554,732
79,57,39578,109
79,69,39877,94
60,51,39885,367
79,55,40203,134
51,61,40216,421
55,49,40561,800
79,67,40568,317
60,72,40916,565
79,66,41088,475
51,54,41248,472
80,83,41561,442
44,81,41882,1207
80,79,42224,71
48,53,42234,1231
51,59,42552,224
80,83,42561,89
80,88,42880,165
56,60,42896,173
51,78,43202,537
80,74,43215,558
56,64,43525,248
79,67,43734,438
44,74,43890,357
51,66,44227,136
48,53,44228,49
77,77,44251,332
51,84,44577,788
55,60,44931,491
58,49,45247,537
79,88,45253,650
63,55,45572,377
51,83,45901,921
82,83,45922,526
55,54,46265,630
75,88,46407,588
58,44,46593,254
63,70,46896,62
74,57,46926,691
46,78,47240,742
50,51,47605,412
53,55,47928,539
79,55,47930,624
58,63,48219,288
46,88,48553,979
82,79,48576,477
50,49,48898,667
74,61,49046,561
58,69,49229,380
72,79,49555,413
53,47,49585,270
48,57,49887,655
51,54,50222,505
79,77,50223,99
55,55,50544,477
79,59,50553,103
60,57,50892,159
79,58,50904,126
79,81,51231,354
48,66,51232,620
51,38,51569,392
79,73,51746,488
55,53,51892,413
60,66,52206,91
80,84,52236,455
44,74,52564,797
80,72,52910,86
48,47,52936,441
80,84,53233,94
51,54,53242,432
80,88,53567,93
56,83,53577,346
80,88,53880,560
44,83,53908,873
48,46,54245,637
79,73,54401,464
51,66,54581,354
77,69,54904,432
56,74,54905,138
51,86,55229,820
55,54,55599,497
58,54,55905,527
79,81,55907,558
63,54,56244,234
51,88,56560,796
82,78,56601,69
75,88,56897,697
55,57,56902,488
58,58,57215,433
74,73,57571,378
46,84,57889,874
50,60,58241,721
79,73,58539,688
53,51,58591,433
58,63,58887,346
46,90,59226,961
82,72,59235,446
50,42,59573,666
74,49,59725,531
53,49,59939,346
58,70,60222,151
72,79,60224,382
48,60,60559,660
79,84,60876,91
51,60,60881,427
55,62,61209,495
79,66,61217,81
60,70,61553,168
79,66,61559,106
48,78,61875,531
79,79,61880,372
51,46,62215,361
79,72,62400,447
55,58,62501,425
60,59,62838,108
80,81,62873,437
44,66,63202,809
80,81,63542,75
48,45,63574,445
51,60,63857,476
80,88,63871,86
56,74,64223,325
80,88,64237,91
80,83,64546,561
44,81,64567,820
48,44,64910,558
79,70,65069,491
51,64,65244,349
56,72,65571,124
77,64,65578,317
51,79,65900,807
55,57,66251,481
87,83,66282,67
87,90,66568,85
58,46,66598,270
87,88,66896,94
63,79,66910,128
87,86,67214,472
51,74,67228,992
55,52,67582,548
89,53,67748,184
58,78,67885,248
87,88,67914,318
86,81,68223,472
63,70,68230,51
46,86,68567,1060
50,54,68887,766
86,72,68900,88
86,69,69213,75
53,53,69224,236
86,81,69560,98
53,45,69568,94
58,79,69573,158
86,84,69882,492
46,74,69885,977
58,24,69901,62
50,55,70227,680
87,79,70385,501
53,46,70582,358
86,44,70868,286
58,81,70872,295
48,58,71216,430
55,60,71566,575
79,81,71582,91
79,79,71897,85
60,63,71908,201
55,34,72207,150
79,78,72225,95
48,46,72263,644
79,88,72559,125
51,67,72579,511
55,51,72868,716
79,83,73075,205
60,78,73224,353
51,81,73538,112
80,86,73560,395
44,70,73888,759
80,86,74209,66
48,51,74230,439
80,86,74545,62
51,60,74550,404
56,78,74870,408
80,94,74871,90
80,84,75186,573
44,86,75206,736
48,53,75548,439
79,63,75742,175
51,39,75897,358
56,77,76222,137
79,83,76237,147
51,83,76550,1035
55,55,76891,913
87,81,76898,834
58,23,77311,175
63,74,77517,239
51,79,77900,998
87,69,77913,457
55,53,78214,687
89,53,78392,154
87,72,78523,369
63,72,78535,204
58,72,78863,68
86,86,78886,473
46,74,79225,773
50,63,79534,490
86,58,79552,105
86,59,79866,100
53,45,79896,180
86,59,80184,141
58,77,80190,406
86,66,80504,540
46,84,80519,987
50,49,80857,702
89,61,81042,428
53,49,81244,275
58,67,81531,170
84,64,81532,612
48,55,81870,665
51,70,82238,452
91,97,82239,119
55,67,82549,500
91,84,82561,96
91,84,82888,106
60,73,82890,213
91,86,83197,463
48,81,83214,811
51,55,83531,739
89,77,83684,497
55,77,83856,392
60,79,84191,85
87,88,84211,348
44,83,84539,766
